[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000559s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000658s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000327s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000409s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.007779s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007882s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000352s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000418s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000191s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000469s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001636s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000435s ]
[ 2012-06-29T13:42:29+08:00 ] /top/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000509s ]
[ 2012-06-29T13:48:09+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:48:09+08:00 ] /top/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000406s ]
[ 2012-06-29T13:48:09+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000479s ]
[ 2012-06-29T13:48:09+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --START--
