[ 2012-06-30T09:34:35+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:34:35+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.001203s ]
[ 2012-06-30T09:34:35+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.002106s ]
[ 2012-06-30T09:34:35+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:34:35+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000735s ]
[ 2012-06-30T09:34:35+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000793s ]
[ 2012-06-30T09:38:38+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:38:38+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000653s ]
[ 2012-06-30T09:38:38+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000770s ]
[ 2012-06-30T09:38:38+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:38:38+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000372s ]
[ 2012-06-30T09:38:38+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000423s ]
[ 2012-06-30T09:38:48+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:38:48+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000810s ]
[ 2012-06-30T09:38:48+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000980s ]
[ 2012-06-30T09:38:48+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:38:48+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000638s ]
[ 2012-06-30T09:38:48+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000728s ]
[ 2012-06-30T09:38:59+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:38:59+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000724s ]
[ 2012-06-30T09:38:59+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000857s ]
[ 2012-06-30T09:38:59+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:38:59+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000422s ]
[ 2012-06-30T09:38:59+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000480s ]
[ 2012-06-30T09:39:10+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:39:10+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000718s ]
[ 2012-06-30T09:39:10+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000852s ]
[ 2012-06-30T09:39:10+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:39:10+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000384s ]
[ 2012-06-30T09:39:10+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000438s ]
[ 2012-06-30T09:39:21+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --START--
[ 2012-06-30T09:39:21+08:00 ] /top/admin.php/index/performTask | INFO: Run CheckRoute Behavior [ RunTime:0.000694s ]
[ 2012-06-30T09:39:21+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ route_check ] --END-- [ RunTime:0.000813s ]
[ 2012-06-30T09:39:21+08:00 ] /top/admin.php/index/performTask | INFO: Tag[ app_begin ] --START--
[ 2012-06-30T09:39:21+08:00 ] /top/admin.php/index/performTask | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000374s ]
