[ 2012-07-02T10:46:16+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:46:56+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:47:05+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:47:38+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:47:40+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:47:42+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:25+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:25+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:26+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:26+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:27+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:27+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:27+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:28+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:28+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:28+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:29+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:29+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:29+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T10:48:29+08:00 ] /top/index/weiboImage | ERR: (ThinkException) 非法操作weiboImage
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Tag[ app_begin ] --START--
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000796s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000867s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.001686s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Tag[ view_template ] --START--
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000914s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000980s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Tag[ view_parse ] --START--
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013827s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013916s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Tag[ view_filter ] --START--
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Run ContentReplace Behavior [ RunTime:0.000739s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Run TokenBuild Behavior [ RunTime:0.000670s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000504s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000797s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002867s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Tag[ view_end ] --START--
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000579s ]
[ 2012-07-02T14:18:26+08:00 ] /top/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000642s ]
[ 2012-07-02T14:18:26+08:00 ] /top/demos.css | ERR: (ThinkException) 无法加载模块demos.css
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000776s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000904s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.001541s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Tag[ view_template ] --START--
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000674s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000743s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.012571s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012642s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001913s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000787s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000570s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000771s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004270s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Tag[ view_end ] --START--
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000679s ]
[ 2012-07-02T17:25:30+08:00 ] /top/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000741s ]
[ 2012-07-02T17:25:30+08:00 ] /top/demos.css | ERR: (ThinkException) 无法加载模块demos.css
[ 2012-07-02T17:25:32+08:00 ] /top/Login/login.html | INFO: Tag[ route_check ] --START--
[ 2012-07-02T17:25:32+08:00 ] /top/Login/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000587s ]
[ 2012-07-02T17:25:32+08:00 ] /top/Login/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000658s ]
[ 2012-07-02T17:25:32+08:00 ] /top/Login/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-07-02T17:25:32+08:00 ] /top/Login/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000367s ]
[ 2012-07-02T17:25:32+08:00 ] /top/Login/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000427s ]
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | INFO: Tag[ route_check ] --START--
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.000685s ]
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000768s ]
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | INFO: Tag[ app_begin ] --START--
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000395s ]
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000454s ]
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.001281s ]
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::_getTopUserInfo(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 24 and defined UserModel.class.php 第 32 行.
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | NOTIC: [8] Undefined variable: fields UserModel.class.php 第 35 行.
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::getInventoryItems(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 25 and defined UserModel.class.php 第 103 行.
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | NOTIC: [2] Missing argument 2 for UserModel::getInventoryItems(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 25 and defined UserModel.class.php 第 103 行.
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | NOTIC: [8] Undefined variable: fields UserModel.class.php 第 106 行.
[ 2012-07-02T17:25:49+08:00 ] /top/Index/index.html | NOTIC: [8] Undefined variable: params UserModel.class.php 第 112 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::getOnsaleItems(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 29 and defined UserModel.class.php 第 119 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [2] Missing argument 2 for UserModel::getOnsaleItems(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 29 and defined UserModel.class.php 第 119 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [8] Undefined variable: fields UserModel.class.php 第 122 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [8] Undefined variable: params UserModel.class.php 第 128 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::getOnShowcaseItems(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 35 and defined UserModel.class.php 第 135 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [8] Undefined variable: params UserModel.class.php 第 137 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [2] Missing argument 2 for UserModel::getOnsaleItems(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Model/UserModel.class.php on line 140 and defined UserModel.class.php 第 119 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [8] Undefined variable: params UserModel.class.php 第 128 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [2] trim() expects parameter 1 to be string, array given RequestCheckUtil.php 第 98 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [2] substr() expects parameter 1 to be string, array given TopClient.php 第 28 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [2] substr() expects parameter 1 to be string, array given TopClient.php 第 57 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [2] urlencode() expects parameter 1 to be string, array given TopClient.php 第 59 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::getSellerCatsList(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 37 and defined UserModel.class.php 第 144 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [2] Missing argument 2 for UserModel::getSellerCatsList(), called in /Applications/XAMPP/xamppfiles/htdocs/top/top/Lib/Action/IndexAction.class.php on line 37 and defined UserModel.class.php 第 144 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [8] Undefined variable: fields UserModel.class.php 第 147 行.
[ 2012-07-02T17:25:50+08:00 ] /top/Index/index.html | NOTIC: [8] Undefined variable: params UserModel.class.php 第 153 行.
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Tag[ view_template ] --START--
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000392s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000469s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Tag[ view_parse ] --START--
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Run ParseTemplate Behavior [ RunTime:0.008435s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008526s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Tag[ view_filter ] --START--
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Run ContentReplace Behavior [ RunTime:0.000299s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Run TokenBuild Behavior [ RunTime:0.000296s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000152s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000371s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001274s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Tag[ view_end ] --START--
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000348s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/index.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000403s ]
[ 2012-07-02T17:25:51+08:00 ] /top/Index/mainpage.css | ERR: (ThinkException) 非法操作mainpage.css
[ 2012-07-02T17:25:51+08:00 ] /top/Index/share.css | ERR: (ThinkException) 非法操作share.css
[ 2012-07-02T17:55:23+08:00 ] /top/ | INFO: Tag[ app_begin ] --START--
[ 2012-07-02T17:55:23+08:00 ] /top/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000451s ]
[ 2012-07-02T17:55:23+08:00 ] /top/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000533s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.005162s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Tag[ view_template ] --START--
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000262s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000319s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Tag[ view_parse ] --START--
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010670s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010746s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Tag[ view_filter ] --START--
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Run ContentReplace Behavior [ RunTime:0.000392s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Run TokenBuild Behavior [ RunTime:0.000347s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000156s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000658s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001717s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Tag[ view_end ] --START--
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000348s ]
[ 2012-07-02T17:55:24+08:00 ] /top/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000403s ]
[ 2012-07-02T17:55:24+08:00 ] /top/demos.css | ERR: (ThinkException) 无法加载模块demos.css
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Tag[ app_begin ] --START--
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000972s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001051s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.000680s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Tag[ view_template ] --START--
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000231s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000295s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Tag[ view_parse ] --START--
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009528s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009598s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Tag[ view_filter ] --START--
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Run ContentReplace Behavior [ RunTime:0.000365s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Run TokenBuild Behavior [ RunTime:0.000321s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000143s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000397s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001377s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Tag[ view_end ] --START--
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000325s ]
[ 2012-07-02T17:55:30+08:00 ] /top/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000379s ]
[ 2012-07-02T17:55:30+08:00 ] /top/demos.css | ERR: (ThinkException) 无法加载模块demos.css
