[ 2012-07-21T14:29:52+08:00 ] /top/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000895s ]
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001961s ]
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/4e/85/4e85bc8c6cff463bba3cf1e0ee2c25b7.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/cc/42/cc42f02d0a0e6782cba5b1644e5493c0.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/2a/43/2a43b52bc6cf4b8da2ec429c14f0455c.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/b5/f4/b5f4d5e60cb0b133a9bf493f87c0eac5.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/c8/95/c8951e2a463e62a8c5ce757917e6cb46.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/cb/3a/cb3ae35c458d919eaedeec129df5b4f6.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/ac/cd/accd866d55c04f60c32634bea89f2f73.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/27/f2/27f2fc61b09bbbda448eace75bcb8540.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/7f/b3/7fb36c43121c7cb911cc974bf288276b.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/6e/59/6e59f60ecebfcd99a540f37de1061eec.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/a9/ba/a9baa33483e776bb939727176a20516e.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/fc/82/fc82fdecaad3f611dc4ef396d72adebb.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/24/c6/24c6db1c00857888734851cef49c9723.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/59/0f/590fdd9b140361a1e1f12f1a8708122c.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/76/95/76958eb9c5dc393a3c26c1810d8c691f.php Autoloader.php 第 277 行.
[ 2012-07-21T14:29:52+08:00 ] /top/index.php | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for /private/tmp/LtAutoloader-token-cache/8c/5c/8c5cc2721c4ce957b5c82025a212d5d5.php Autoloader.php 第 277 行.
