[ 2012-07-27T16:38:07+08:00 ] /taodandan/index.php | ERR: (ThinkException) 缓存文件写入失败！:./top/Runtime/Cache/7e72428f6f3eca65d6dd6d65da670591.php
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000462s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000594s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | NOTIC: [2] Missing argument 1 for UserModel::__construct(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Action/IndexAction.class.php on line 21 and defined UserModel.class.php 第 27 行.
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.000935s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | NOTIC: [8] Undefined variable: userId UserModel.class.php 第 32 行.
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --START--
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000250s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000305s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009250s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009319s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000573s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000551s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000474s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000716s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002478s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --START--
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000694s ]
[ 2012-07-27T16:43:55+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000749s ]
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | INFO: Tag[ route_check ] --START--
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.000661s ]
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000734s ]
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | INFO: Tag[ app_begin ] --START--
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000393s ]
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000452s ]
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::__construct(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Action/IndexAction.class.php on line 21 and defined UserModel.class.php 第 27 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.000707s ]
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: userId UserModel.class.php 第 32 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::_getTopUserInfo(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Model/UserModel.class.php on line 82 and defined UserModel.class.php 第 55 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: fields UserModel.class.php 第 58 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined index: user UserModel.class.php 第 65 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::_getTopUserInfo(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Action/IndexAction.class.php on line 28 and defined UserModel.class.php 第 55 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: fields UserModel.class.php 第 58 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined index: user UserModel.class.php 第 65 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::getInventoryItems(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Action/IndexAction.class.php on line 30 and defined UserModel.class.php 第 193 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 2 for UserModel::getInventoryItems(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Action/IndexAction.class.php on line 30 and defined UserModel.class.php 第 193 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: fields UserModel.class.php 第 196 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: params UserModel.class.php 第 202 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::getOnsaleItems(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Action/IndexAction.class.php on line 34 and defined UserModel.class.php 第 209 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 2 for UserModel::getOnsaleItems(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Action/IndexAction.class.php on line 34 and defined UserModel.class.php 第 209 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: fields UserModel.class.php 第 212 行.
[ 2012-07-27T16:46:19+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: params UserModel.class.php 第 218 行.
[ 2012-07-27T16:46:20+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined index: total_results IndexAction.class.php 第 36 行.
[ 2012-07-27T16:46:20+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined index: total_results IndexAction.class.php 第 36 行.
[ 2012-07-27T16:46:20+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 1 for UserModel::getOnShowcaseItems(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Action/IndexAction.class.php on line 40 and defined UserModel.class.php 第 225 行.
[ 2012-07-27T16:46:20+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: params UserModel.class.php 第 227 行.
[ 2012-07-27T16:46:20+08:00 ] /taodandan/Index/index.html | NOTIC: [2] Missing argument 2 for UserModel::getOnsaleItems(), called in /Applications/XAMPP/xamppfiles/htdocs/taodandan/top/Lib/Model/UserModel.class.php on line 230 and defined UserModel.class.php 第 209 行.
[ 2012-07-27T16:46:20+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: params UserModel.class.php 第 218 行.
[ 2012-07-27T16:46:20+08:00 ] /taodandan/Index/index.html | NOTIC: [2] trim() expects parameter 1 to be string, array given RequestCheckUtil.php 第 98 行.
[ 2012-07-27T16:46:20+08:00 ] /taodandan/Index/index.html | NOTIC: [2] substr() expects parameter 1 to be string, array given TopClient.php 第 28 行.
[ 2012-07-27T16:46:20+08:00 ] /taodandan/Index/index.html | NOTIC: [2] substr() expects parameter 1 to be string, array given TopClient.php 第 57 行.
