[ 2012-09-28T03:37:54+08:00 ] /taodandan/index.php | ERR: (ThinkException) 模板不存在[./top/Tpl/Index/Index.html]
[ 2012-09-28T03:38:32+08:00 ] /taodandan/index.php | ERR: (ThinkException) 模板不存在[./top/Tpl/Index/Index.html]
[ 2012-09-28T03:38:40+08:00 ] /taodandan/index.php | ERR: (ThinkException) 模板不存在[./top/Tpl/Index/Index.html]
[ 2012-09-28T03:38:46+08:00 ] /taodandan/index.php | ERR: (ThinkException) 模板不存在[./top/Tpl/Index/Index.html]
[ 2012-09-28T03:39:15+08:00 ] /taodandan/index.php | ERR: (ThinkException) 模板不存在[./top/Tpl/Index/Index.html]
[ 2012-09-28T03:39:33+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T03:39:33+08:00 ] /taodandan/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000822s ]
[ 2012-09-28T03:39:33+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000924s ]
[ 2012-09-28T03:39:34+08:00 ] /taodandan/index.php | NOTIC: [2] Missing argument 1 for UserModel::__construct(), called in C:\xampp\htdocs\taodandan\top\Lib\Action\IndexAction.class.php on line 21 and defined UserModel.class.php 第 17 行.
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.005607s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | NOTIC: [8] Undefined variable: userId UserModel.class.php 第 20 行.
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001482s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001580s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.013382s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013463s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000832s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000769s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000587s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000869s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003240s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000977s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001049s ]
[ 2012-09-28T03:39:35+08:00 ] /taodandan/demos.css | ERR: (ThinkException) 无法加载模块demos.css
[ 2012-09-28T03:39:37+08:00 ] /taodandan/index/login | ERR: (ThinkException) 无法加载模块index
[ 2012-09-28T03:39:58+08:00 ] /taodandan/login/login.html | INFO: Tag[ route_check ] --START--
[ 2012-09-28T03:39:58+08:00 ] /taodandan/login/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000824s ]
[ 2012-09-28T03:39:58+08:00 ] /taodandan/login/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000897s ]
[ 2012-09-28T03:39:58+08:00 ] /taodandan/login/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T03:39:58+08:00 ] /taodandan/login/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000750s ]
[ 2012-09-28T03:39:58+08:00 ] /taodandan/login/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000800s ]
[ 2012-09-28T03:40:22+08:00 ] /taodandan/index/index.html | INFO: Tag[ route_check ] --START--
[ 2012-09-28T03:40:22+08:00 ] /taodandan/index/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.000808s ]
[ 2012-09-28T03:40:22+08:00 ] /taodandan/index/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000881s ]
[ 2012-09-28T03:40:22+08:00 ] /taodandan/index/index.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T03:40:22+08:00 ] /taodandan/index/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000699s ]
[ 2012-09-28T03:40:22+08:00 ] /taodandan/index/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000747s ]
[ 2012-09-28T03:40:22+08:00 ] /taodandan/index/index.html | NOTIC: [2] Missing argument 1 for UserModel::__construct(), called in C:\xampp\htdocs\taodandan\top\Lib\Action\IndexAction.class.php on line 21 and defined UserModel.class.php 第 17 行.
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.011672s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | NOTIC: [8] Undefined variable: userId UserModel.class.php 第 20 行.
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | SQL: SHOW COLUMNS FROM `sk_item_group` [ RunTime:0.009850s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | SQL: SHOW COLUMNS FROM `sk_item_group` [ RunTime:0.010047s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | SQL: SELECT * FROM `sk_item_group` WHERE name='group1' and user_id=  [ RunTime:0.000644s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Tag[ view_template ] --START--
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.003088s ]
[ 2012-09-28T03:40:23+08:00 ] /taodandan/index/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.003202s ]
