[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001774s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002250s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001996s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002046s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.012187s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012228s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001032s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000948s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000963s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001095s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004140s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001008s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001046s ]
[ 2012-09-29T06:06:28+08:00 ] /taodandan/demos.css | ERR: (ThinkException) 无法加载模块Demos.css
[ 2012-09-29T06:06:30+08:00 ] /taodandan/login/login.html | INFO: Tag[ route_check ] --START--
[ 2012-09-29T06:06:30+08:00 ] /taodandan/login/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.001011s ]
[ 2012-09-29T06:06:30+08:00 ] /taodandan/login/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001067s ]
[ 2012-09-29T06:06:30+08:00 ] /taodandan/login/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-29T06:06:30+08:00 ] /taodandan/login/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000867s ]
[ 2012-09-29T06:06:30+08:00 ] /taodandan/login/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000900s ]
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | INFO: Tag[ route_check ] --START--
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | INFO: Run CheckRoute Behavior [ RunTime:0.001753s ]
